Lambda         Centrality:10-40
pT(GeV/c)      MLoverP        SigExtrac      Topological    TPCPID         TrackQuality   CompetMass     Material       Total          
0.65           1.83946        0.616745       4.52414        0.278836       0.236364       0.0876903      4              6.35399        
0.75           2.02364        0.460749       4.3243         0.212577       0.698084       0.173285       4              6.29043        
0.85           1.97901        0.578274       4.22311        0.380298       0.764077       0.0793513      4              6.2306         
0.95           2.16887        0.703774       3.78988        0.762383       1.02502        0.265381       4              6.10449        
1.05           2.00162        0.792468       2.9951         0.627469       1.06533        1.21936        4              5.71145        
1.15           2.15665        1.11123        2.02516        0.562549       1.10891        2.95647        4              6.02279        
1.3            2.25519        1.66424        1.02506        0.171509       1.23475        3.94013        4              6.47958        
1.5            2.0184         1.02219        0.978519       0.0841937      1.31366        2.33586        4              5.40975        
1.7            1.5719         1.07073        0.866846       0.0846928      1.18013        0.16802        4              4.66871        
1.9            1.02439        0.620456       1.04571        0.109154       1.34198        0.40758        4              4.52844        
2.1            0.302136       0.528701       0.894626       0.157929       1.25709        0.197152       4              4.33765        
2.3            0.204999       0.343985       1.41823        0.174499       1.38094        0.347136       4              4.49774        
2.5            0.0477837      0.340771       1.52569        0.191677       1.86015        0              4              4.68434        
2.7            0.0135499      0.475612       1.33291        0.172074       1.83755        0              4              4.62701        
3              0.0226845      0.63936        1.78144        0.158405       1.77936        0              4              4.77222        
3.45           0              0.758631       1.14172        0.131746       1.72441        0              4              4.56837        
3.95           0              0.852932       1.05532        0.246974       1.42672        0              4              4.46517        
4.6            0              0.763934       0.50284        0.200983       2.5356         0              4              4.82764        
5.5            0              1.45517        1.30963        0.367662       2.39743        0              4              5.07104        
7              0              1.1374         1.62721        0.510792       2.99267        0              4              5.39986        
10             0              2.47564        3.43106        1.35126        1.57042        3.61963        4              7.16204        
