Lambda         Centrality:40-100
pT(GeV/c)      MLoverP        SigExtrac      Topological    TPCPID         TrackQuality   Material       Total          
0.65           0.744752       0.487502       2.0054         0.287617       0.257447       4              4.57853        
0.75           1.36657        0.383431       2.33872        0.229118       0.564657       4              4.88421        
0.85           1.58563        0.337143       2.2955         0.236944       0.65493        4              4.93784        
0.95           1.91473        0.582043       2.13161        0.540044       0.943662       4              5.07256        
1.05           1.91848        0.628591       1.9732         0.398162       0.961636       4              5.00524        
1.15           2.09179        0.614813       1.02005        0.378298       1.06118        4              4.80243        
1.3            2.24266        1.11914        0.883977       0.090322       1.1008         4              4.92781        
1.5            2.0258         0.876039       0.828172       0.0987916      1.26995        4              4.81453        
1.7            1.43828        0.762684       1.14075        0.0648391      1.09378        4              4.59915        
1.9            0.887515       0.532177       1.43651        0.104827       1.32855        4              4.5728         
2.1            0.175945       0.44832        1.39608        0.14915        1.20444        4              4.43327        
2.3            0.103825       0.45948        1.80239        0.176292       1.34606        4              4.61665        
2.5            0.0147822      0.249981       1.79795        0.173567       1.85937        4              4.77313        
2.7            0.0194208      0.418917       1.72785        0.134247       1.68833        4              4.69359        
3              0.0301946      0.467376       1.63391        0.151072       1.69873        4              4.66878        
3.45           0.0144531      0.860193       1.19993        0.157278       1.71619        4              4.59891        
3.95           0              0.936156       1.03342        0.178833       1.61445        4              4.53682        
4.6            0              0.915979       0.59001        0.349579       2.41216        4              4.80914        
5.5            0              1.14513        0.868613       0.343345       2.5172         4              4.95176        
7              0              2.0421         1.36723        0.909775       3.35007        4              5.83868        
10             0              3.55253        0              0.355129       2.01499        4              5.72772        
